Year,Zip Code,Closings, Sale Amt Avg ,YoY Sale Amt Avg, Price/ SqFt Avg ,YoY Price/SqFt Avg,Bedrooms Avg,Bathrooms  Avg,Living SqFt Avg,Land SqFt Avg,Acres Avg
2013,98020,7," $627,142.86 ",83.64%, $206.14 ,58.33%,3.7,3.1,"2,778","12,768",0.3
2014,98020,3," $351,836.67 ",-43.90%, $185.00 ,-10.26%,3.7,2.7,"2,190","11,970",0.3
2015,98020,6," $629,250.00 ",78.85%, $245.50 ,32.70%,3.8,3.3,"2,508","9,820",0.2
2016,98020,9," $820,077.78 ",30.33%, $311.78 ,27.00%,3.6,3.2,"2,634","10,472",0.2
2017,98020,7," $587,285.71 ",-28.39%, $252.14 ,-19.13%,4.1,2.7,"2,409","10,770",0.1
2018,98020,4," $561,853.75 ",-4.33%, $285.25 ,13.13%,3.8,2.5,"1,920","10,510",0.3
2019,98020,6," $1,194,083.33 ",112.53%, $370.83 ,30.00%,4.3,3.2,"3,217","11,083",0.3
2005,98021,4," $370,333.25 ",, $162.75 ,,3.3,2.8,"2,125","16,688",0.5
2006,98021,5," $624,587.60 ",68.66%, $438.40 ,169.37%,3.4,2.6,"2,002","61,884",1.4
2007,98021,11," $416,990.91 ",-33.24%, $215.00 ,-50.96%,3.7,3.0,"2,066","9,259",0.2
2008,98021,4," $380,275.00 ",-8.80%, $197.25 ,-8.26%,3.5,3.0,"1,943","7,471",0.3
2009,98021,3," $335,475.00 ",-11.78%, $149.00 ,-24.46%,4.0,4.0,"2,180","12,411",0.3
2010,98021,6," $247,638.83 ",-26.18%, $123.67 ,-17.00%,2.8,2.3,"1,712","16,927",0.3
2011,98021,3," $331,666.67 ",33.93%, $147.67 ,19.41%,3.7,3.3,"2,287","20,165",0.3
2012,98021,3," $281,666.67 ",-15.08%, $168.67 ,14.22%,3.3,2.7,"1,683","9,031",0.3
2013,98021,9," $370,133.67 ",31.41%, $187.22 ,11.00%,3.7,2.7,"2,012","17,014",0.4
2014,98021,6," $416,658.33 ",12.57%, $202.00 ,7.89%,3.2,3.2,"2,103","6,157",0.2
2015,98021,7," $419,216.71 ",0.61%, $201.86 ,-0.07%,3.6,2.7,"2,103","13,271",0.3
2016,98021,13," $532,807.69 ",27.10%, $287.23 ,42.29%,3.6,2.8,"1,929","33,299",0.8
2017,98021,8," $625,750.00 ",17.44%, $312.88 ,8.93%,3.5,2.9,"2,019","9,083",0.3
2018,98021,10," $569,144.40 ",-9.05%, $305.20 ,-2.45%,3.0,2.8,"1,944","8,550",0.2
2019,98021,8," $719,987.50 ",26.50%, $335.50 ,9.93%,3.5,3.4,"2,281","15,918",0.4
2005,98022,528," $292,311.86 ",, $170.19 ,,3.0,2.3,"1,901","94,021",2.1
2006,98022,465," $322,832.06 ",10.44%, $185.98 ,9.27%,3.2,2.3,"1,980","81,965",1.9
2007,98022,375," $344,111.44 ",6.59%, $193.49 ,4.04%,3.1,2.3,"1,889","93,830",2.2
2008,98022,230," $334,703.20 ",-2.73%, $178.72 ,-7.63%,2.9,2.1,"1,981","69,974",1.6
2009,98022,225," $287,713.47 ",-14.04%, $169.80 ,-4.99%,3.2,2.2,"1,823","65,025",1.5
2010,98022,297," $238,786.62 ",-17.01%, $136.38 ,-19.68%,3.2,2.3,"1,899","72,475",1.7
2011,98022,309," $257,481.23 ",7.83%, $132.93 ,-2.53%,3.3,2.4,"1,962","99,811",2.2
2012,98022,285," $261,701.33 ",1.64%, $121.82 ,-8.35%,3.0,2.3,"1,939","88,080",2.0
2013,98022,346," $256,609.31 ",-1.95%, $159.81 ,31.19%,3.2,2.3,"1,861","73,182",1.7
2014,98022,431," $290,315.95 ",13.14%, $164.07 ,2.66%,3.2,2.3,"1,949","90,420",2.1
2015,98022,452," $305,808.11 ",5.34%, $160.79 ,-2.00%,3.3,2.6,"2,032","80,810",1.9
2016,98022,480," $350,466.17 ",14.60%, $193.29 ,20.22%,3.3,2.4,"2,011","92,366",2.1
2017,98022,473," $373,428.19 ",6.55%, $186.32 ,-3.61%,2.9,2.1,"1,719","103,399",2.3
2018,98022,456," $400,996.73 ",7.38%, $240.90 ,29.30%,3.1,2.3,"1,950","96,013",2.2
2019,98022,388," $452,241.64 ",12.78%, $235.84 ,-2.10%,3.4,2.5,"2,136","110,491",2.6
2005,98023,"1,188"," $278,035.09 ",, $157.07 ,,3.3,2.5,"1,886","48,463",1.2
2006,98023,"1,010"," $308,259.41 ",10.87%, $172.86 ,10.06%,3.3,2.5,"1,905","59,681",1.4
2007,98023,795," $343,249.90 ",11.35%, $182.58 ,5.62%,3.1,2.4,"1,744","67,005",1.6
2008,98023,538," $311,162.02 ",-9.35%, $163.12 ,-10.66%,3.3,2.5,"1,889","61,896",1.5
2009,98023,629," $255,877.07 ",-17.77%, $142.11 ,-12.88%,3.3,2.4,"1,836","44,635",1.1
